"","PLT_CN","STATE","PLOT","LAT","LON","spcd","FORTYPE","FORGRP","HT_MAX","BOLE_BIOMASS","TOP_BIOMASS","TOTAL_BIOMASS","common_name","scientific_name","FORGRP_NAME"
"41",3543670010690,"AZ",10062,33.551256,-109.947163,122,221,220,13.716,1273.68932904915,231.64673416405,1505.3360632132,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"42",3543734010690,"AZ",10073,33.496271,-109.951058,122,221,220,17.9832,3949.02138067185,733.28260020585,4682.3039808777,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"43",3543810010690,"AZ",10075,33.50883,-109.842169,122,221,220,17.3736,1063.43002578825,175.67838960005,1239.1084153883,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"44",3543871010690,"AZ",10084,33.46868,-109.995511,122,221,220,12.4968,1396.31616316105,253.6729307571,1649.98909391815,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"45",3543954010690,"AZ",10087,33.456414,-109.83103,122,221,220,28.956,2472.46386976115,400.03907308545,2872.5029428466,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"46",3543997010690,"AZ",10095,33.403922,-109.91023,122,221,220,7.3152,62.51054314015,12.5564454185,75.06698855865,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"47",3544025010690,"AZ",10101,33.370374,-109.890225,122,184,180,7.3152,75.52868236555,14.78675646165,90.3154388272,"ponderosa pine","Pinus ponderosa","Pinyon / juniper group"
"48",3544039010690,"AZ",10102,33.367267,-109.846195,122,221,220,23.1648,6006.8791119693,1045.1474726786,7052.0265846479,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"49",3544077010690,"AZ",10103,33.360391,-109.787173,122,221,220,10.9728,856.8246542976,157.9177580512,1014.7424123488,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"50",3544161010690,"AZ",10112,33.330558,-109.780066,122,221,220,16.1544,4249.80588535405,776.98084738425,5026.7867327383,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"51",3544196010690,"AZ",10113,33.31206,-109.734134,122,221,220,17.3736,1108.58441851905,189.64997315285,1298.2343916719,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"52",3544299010690,"AZ",10121,33.27613,-109.748611,122,971,970,12.8016,260.34090215345,48.69772798985,309.0386301433,"ponderosa pine","Pinus ponderosa","Other hardwoods group"
"53",3544332010690,"AZ",10122,33.280042,-109.690571,122,185,180,7.9248,131.61849120235,25.6022472219,157.22073842425,"ponderosa pine","Pinus ponderosa","Pinyon / juniper group"
"54",3544426010690,"AZ",10131,33.220524,-109.691458,122,971,970,7.3152,48.16010780395,10.02591246115,58.1860202651,"ponderosa pine","Pinus ponderosa","Other hardwoods group"
"55",3544585010690,"AZ",10151,33.59356,-109.578094,122,221,220,22.5552,2615.79769700415,432.2702121476,3048.06790915175,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"56",3544585010690,"AZ",10151,33.59356,-109.578094,202,221,220,21.6408,924.9799717695,154.84921933555,1079.82919110505,"Douglas-fir","Pseudotsuga menziesii","Ponderosa pine group"
"57",3544618010690,"AZ",10152,33.579249,-109.511527,122,221,220,17.6784,786.5513562487,145.2154407303,931.766796979,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"58",3544633010690,"AZ",10156,33.550624,-109.691893,122,185,180,12.4968,820.6517671188,143.6828644164,964.3346315352,"ponderosa pine","Pinus ponderosa","Pinyon / juniper group"
"59",3544658010690,"AZ",10157,33.55564,-109.574407,122,221,220,19.812,1674.00162165145,284.5490664083,1958.55068805975,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"60",3544832010690,"AZ",10170,33.466242,-109.644738,122,971,970,7.3152,73.30971992865,14.40996031715,87.7196802458,"ponderosa pine","Pinus ponderosa","Other hardwoods group"
"61",3545080010690,"AZ",10208,33.098526,-110.066179,740,973,970,7.9248,286.8755228436,86.7727615071,373.6482843507,"cottonwood and poplar spp.","Populus","Other hardwoods group"
"62",3574390010690,"AZ",102,32.444255,-110.799587,202,201,200,29.2608,9437.20739598955,1511.57358706561,10948.7809830552,"Douglas-fir","Pseudotsuga menziesii","Douglas-fir group"
"63",3574390010690,"AZ",102,32.444255,-110.799587,15,201,200,31.6992,6041.78502372034,971.779045645347,7013.56406936569,"white fir","Abies concolor","Douglas-fir group"
"64",3574390010690,"AZ",102,32.444255,-110.799587,746,201,200,17.3736,434.760131508146,101.161792703308,535.921924211453,"quaking aspen","Populus tremuloides","Douglas-fir group"
"65",3484412010690,"AZ",83,36.814623,-109.151965,122,221,220,14.3256,3796.1850711926,619.39178083725,4415.57685202985,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"66",3487250010690,"AZ",220,33.930973,-109.756433,122,221,220,26.5176,8285.38092937925,1379.90780014915,9665.2887295284,"ponderosa pine","Pinus ponderosa","Ponderosa pine group"
"67",3487250010690,"AZ",220,33.930973,-109.756433,746,221,220,18.8976,304.59133384265,101.7245956359,406.31592947855,"quaking aspen","Populus tremuloides","Ponderosa pine group"
"68",3487695010690,"AZ",238,36.394681,-109.158615,122,185,180,26.2128,3911.3566746477,624.6162341773,4535.972908825,"ponderosa pine","Pinus ponderosa","Pinyon / juniper group"
"69",3487776010690,"AZ",240,36.401393,-109.051073,202,201,200,22.5552,5071.9490588454,895.7718111122,5967.7208699576,"Douglas-fir","Pseudotsuga menziesii","Douglas-fir group"
"70",3488104010690,"AZ",256,33.78779,-109.607295,746,901,900,42.0624,14612.1967733805,4809.2167301864,19421.4135035669,"quaking aspen","Populus tremuloides","Maple / beech / birch group"
"71",3488104010690,"AZ",256,33.78779,-109.607295,122,901,900,28.0416,5770.5612320677,934.3400780345,6704.9013101022,"ponderosa pine","Pinus ponderosa","Maple / beech / birch group"
